txn_count,total_spent,avg_txn,median_txn,max_txn,min_txn,txn_std,merchant_diversity,merchant_count,city_diversity,state_diversity,active_days,insufficient_funds_count,error_count,overnight_count,weekend_count,high_risk_count,chip_count,swipe_count,online_count,observed_span_days,txn_frequency,spending_velocity,spending_volatility,max_to_avg_ratio,insufficient_funds_ratio,declined_ratio,night_ratio,weekend_ratio,high_risk_ratio,chip_ratio,swipe_ratio,online_ratio,merchant_per_txn_ratio,merchant_entropy,avg_monthly_spent,std_monthly_spent,avg_monthly_txn,std_monthly_txn,active_months,monthly_spend_trend,avg_txn_gap_days,std_txn_gap_days,recency_days,total_credit_limit,avg_credit_limit,card_count,debit_card_count,credit_card_count,chip_card_count,avg_cards_issued,current_age,retirement_age,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,debt_to_income,age_to_retirement,spend_to_limit_ratio,spend_to_income_ratio,avg_txn_to_income_ratio,txn_per_card,spent_per_card,spend_last_60,txn_last_60,spend_last_120,txn_last_120,spending_acceleration_60_120,txn_acceleration_60_120
106,4941.61,46.61896226415094,43.349999999999994,166.0,-97.0,43.74735440010158,24,47,13,6,80,1,1,6,33,3,93,0,13,177,0.5988700564971752,27.91870056497175,0.9384025785949858,3.560782821792898,0.009433962264150943,0.009433962264150943,0.05660377358490566,0.3113207547169811,0.02830188679245283,0.8773584905660378,0.0,0.12264150943396226,0.44339622641509435,2.762521590635933,823.6016666666666,256.7525703409153,17.666666666666668,3.7237973450050514,6,69.37057142857142,1.2380952380952381,1.638032412118327,0,105656.0,26414.0,4,3,1,4,1.75,33,69,29237.0,59613.0,36199.0,763,4,0.6072333215909281,36,0.046770746573786624,0.08289483837418013,0.0007820267771149067,26.5,1235.4025,1723.6399999999999,38.0,3839.56,78.0,0.4489160216274781,0.48717948717948717
85,2189.46,25.758352941176472,23.05,126.72,-88.0,34.092134473646375,22,32,4,3,70,0,0,0,22,1,63,17,5,175,0.4857142857142857,12.5112,1.3235370503502881,4.919569208846016,0.0,0.0,0.0,0.25882352941176473,0.011764705882352941,0.7411764705882353,0.2,0.058823529411764705,0.3764705882352941,2.7933864307659353,364.91,123.3937679139429,14.166666666666666,2.857738033247041,6,-39.21885714285716,1.5833333333333333,2.157689155082316,2,50361.0,10072.2,5,3,2,4,1.4,48,64,13461.0,27447.0,80850.0,673,5,2.9456771231828616,16,0.04347530827425984,0.07977046671767406,0.0009384760790314596,17.0,437.892,457.04,24.0,1322.28,58.0,0.34564540036905955,0.41379310344827586
127,4333.61,34.12291338582677,28.55,754.72,-302.0,90.40995639010501,23,41,13,7,93,0,2,3,31,1,107,18,2,179,0.7094972067039106,24.210111731843572,2.6495380206209918,22.11768940906081,0.0,0.015748031496062992,0.023622047244094488,0.2440944881889764,0.007874015748031496,0.84251968503937,0.14173228346456693,0.015748031496062992,0.3228346456692913,2.566823476381343,722.2683333333334,487.14698715753815,21.166666666666668,4.708148963941845,6,-171.47457142857147,0.9920634920634921,1.3593882844634595,1,136202.0,27240.4,5,4,1,5,1.6,54,72,37485.0,76431.0,115362.0,716,5,1.5093613847784275,18,0.031817521034933405,0.05669963758160955,0.0004464538392252721,25.4,866.722,631.9399999999999,36.0,2196.16,75.0,0.28774770508523967,0.48
85,5674.16,66.75482352941177,46.27,460.98,-258.0,87.79377377332258,21,32,15,9,68,0,1,5,17,2,79,3,3,176,0.48295454545454547,32.23954545454546,1.3151674909999753,6.905568401314027,0.0,0.011764705882352941,0.058823529411764705,0.2,0.023529411764705882,0.9294117647058824,0.03529411764705882,0.03529411764705882,0.3764705882352941,2.322077466577849,945.6933333333333,194.2135942375473,14.166666666666666,2.401388487243717,6,-79.90285714285713,1.6666666666666667,1.8905811775099794,1,120950.0,20158.333333333332,6,3,3,6,1.5,39,67,33175.0,67643.0,0.0,714,6,0.0,28,0.04691326994625878,0.08388391999172123,0.0009868696469614263,14.166666666666666,945.6933333333333,1596.74,28.0,3187.2,58.0,0.5009851907630523,0.4827586206896552
55,2279.89,41.45254545454545,24.2,243.25,-307.0,77.39532281346641,23,29,14,4,43,0,0,0,23,0,34,15,6,167,0.32934131736526945,13.652035928143713,1.8670825148321422,5.868155919803149,0.0,0.0,0.0,0.41818181818181815,0.0,0.6181818181818182,0.2727272727272727,0.10909090909090909,0.5272727272727272,2.742397819663546,379.9816666666666,223.50816132004368,9.166666666666666,4.445971959725642,6,-88.74485714285709,2.611111111111111,2.9551149558884715,9,24593.0,6148.25,4,2,2,3,1.5,52,61,15879.0,32378.0,65919.0,588,4,2.0359194514793995,9,0.09270483470906354,0.07041478781888937,0.001280268869434352,13.75,569.9725,326.89,10.0,1183.2,34.0,0.27627620013522647,0.29411764705882354
42,3194.7999999999997,76.06666666666666,43.44,726.17,-314.0,142.51873367089138,24,29,8,5,42,0,0,7,12,2,28,11,3,166,0.25301204819277107,19.245783132530118,1.8736029842799042,9.546494303242769,0.0,0.0,0.16666666666666666,0.2857142857142857,0.047619047619047616,0.6666666666666666,0.2619047619047619,0.07142857142857142,0.6904761904761905,3.0465968790180677,532.4666666666667,714.0065159273174,7.0,2.280350850198276,6,85.36285714285717,3.5121951219512195,2.7122126688325183,0,39885.0,7977.0,5,3,2,4,1.4,79,57,21314.0,32232.0,21134.0,652,5,0.6556837925043435,-22,0.08010028832894571,0.09911888806155372,0.0023599735252750886,8.4,638.9599999999999,1766.84,18.0,2700.4,32.0,0.6542882535920603,0.5625
59,2823.79,47.860847457627116,47.4,329.85,-301.0,83.94340828258655,23,37,13,7,48,0,0,6,14,1,37,11,11,179,0.329608938547486,15.77536312849162,1.753905598034063,6.8918545642558415,0.0,0.0,0.1016949152542373,0.23728813559322035,0.01694915254237288,0.6271186440677966,0.1864406779661017,0.1864406779661017,0.6271186440677966,2.8847863707713532,470.63166666666666,277.60676702246775,9.833333333333334,2.6394443859772205,6,-54.82999999999997,2.6379310344827585,3.5673877408274435,0,35870.0,7174.0,5,4,1,3,2.0,75,67,15451.0,22158.0,19101.0,681,5,0.8620362848632548,-8,0.07872288820741567,0.12743884827150465,0.0021599804791780446,11.8,564.758,958.0,19.0,1682.99,37.0,0.5692250102496152,0.5135135135135135
154,7220.83,46.88850649350649,36.474999999999994,1166.17,-483.0,114.31689094473835,26,38,15,5,101,6,6,13,50,4,130,20,4,180,0.8555555555555555,40.115722222222225,2.438057841756378,24.87112700340543,0.03896103896103896,0.03896103896103896,0.08441558441558442,0.3246753246753247,0.025974025974025976,0.8441558441558441,0.12987012987012986,0.025974025974025976,0.24675324675324675,2.8144661598171528,1203.4716666666666,704.3433906672701,25.666666666666668,9.223159256278008,6,-25.769999999999946,0.7647058823529411,1.145728370274566,0,9975.0,4987.5,2,1,1,2,1.0,76,65,17850.0,21867.0,21103.0,759,2,0.9650615082087163,-11,0.7238927318295739,0.3302158503681346,0.0021442587686242506,77.0,3610.415,3096.61,45.0,4485.68,86.0,0.6903323464892726,0.5232558139534884
21,246.16,11.721904761904762,9.07,47.36,1.53,11.020695358754647,6,9,2,1,19,0,1,0,11,0,20,1,0,164,0.12804878048780488,1.5009756097560976,0.9401795683045482,4.040298992525186,0.0,0.047619047619047616,0.0,0.5238095238095238,0.0,0.9523809523809523,0.047619047619047616,0.0,0.42857142857142855,1.6166021152340402,41.02666666666667,36.44568707908615,3.5,1.378404875209022,6,-7.060571428571429,7.7,9.1081224594777,7,55.0,55.0,1,1,0,1,2.0,82,68,23071.0,34903.0,1336.0,630,1,0.03827751196172249,-14,4.475636363636363,0.0070526888806119814,0.0003358423276481896,21.0,246.16,49.5,6.0,112.5,13.0,0.44,0.46153846153846156
48,2106.58,43.88708333333333,32.315,393.43,-98.0,70.63797110283407,20,25,6,5,40,0,0,5,14,3,13,32,3,179,0.2681564245810056,11.768603351955306,1.609538974516057,8.964596644798679,0.0,0.0,0.10416666666666667,0.2916666666666667,0.0625,0.2708333333333333,0.6666666666666666,0.0625,0.5208333333333334,2.7811701237488933,351.09666666666664,275.3014517699946,8.0,2.1908902300206643,6,-82.96742857142857,3.382978723404255,3.4863285253248852,0,77444.0,19361.0,4,3,1,3,1.25,39,65,26618.0,54273.0,110237.0,789,4,2.031157297367015,26,0.027201332575796704,0.0388145118198736,0.0008086356629140333,12.0,526.645,346.77,14.0,920.7,33.0,0.37663734115347014,0.42424242424242425
